Order_ID,Customer_ID,age,Driver_ID,Restaurant_ID,Restaurant_Name,Restaurant_Branch,City,Order_Date,food_type,Order_Value,Delivery_Fee,Discount,Final_Amount,Payment_mode,Segment,Rating,Category
O13,C1160,56,D37,R269,KFC,"Hyderabad B4",Hyderabad,2023-12-19,Veg,714,49,132,631,UPI,Occasional,3.3,"Casual Dining"
O14,C501,36,D875,R6,Dominos,"Mumbai B4",Mumbai,2023-10-30,Veg,348,39,93,294,Cash,Occasional,4.2,Cafe
O15,C1644,18,D164,R24,"Pizza Hut","Hyderabad B3",Hyderabad,2023-03-30,Veg,448,26,131,343,UPI,Regular,3.8,"Fast Food"
O16,C49,21,D239,R201,KFC,"Hyderabad B8",Hyderabad,2024-02-02,Veg,272,21,78,215,Cash,Regular,3.2,Cafe
O17,C926,33,D121,R223,McDonalds,"Bangalore B5",Bangalore,2024-05-09,Non-Veg,520,60,142,438,Cash,Premium,3.5,"Fast Food"
O18,C1498,70,D949,R119,"Biryani House","Hyderabad B7",Hyderabad,2023-06-10,Veg,910,57,127,840,Cash,Occasional,4.7,"Fast Food"
O19,C1481,33,D541,R166,"Pizza Hut","Hyderabad B2",Hyderabad,2024-05-11,Veg,996,57,24,1029,Cash,Regular,4.4,"Casual Dining"
O20,C1745,33,D826,R156,Dominos,"Delhi B5",Delhi,2023-04-26,Non-Veg,873,44,35,882,Cash,Regular,3.5,Cafe
O21,C611,30,D764,R81,"Pizza Hut","Pune B7",Pune,2024-07-01,Veg,223,33,113,143,UPI,Premium,4.3,"Fast Food"
O22,C1657,43,D320,R362,Dominos,"Bangalore B2",Bangalore,2023-08-27,Non-Veg,572,54,83,543,UPI,Premium,4.9,Cafe
O23,C1252,31,D117,R239,McDonalds,"Pune B3",Pune,2023-07-04,Veg,200,60,137,123,Cash,Regular,3.5,Cafe
O24,C89,29,D495,R312,KFC,"Hyderabad B7",Hyderabad,2023-10-07,Veg,606,31,59,578,UPI,Occasional,4.1,"Casual Dining"
O25,C220,27,D45,R283,McDonalds,"Mumbai B7",Mumbai,2023-05-19,Non-Veg,535,28,59,504,UPI,Occasional,3.8,"Fast Food"
O26,C609,34,D887,R146,McDonalds,"Mumbai B4",Mumbai,2023-11-09,Veg,971,32,4,999,UPI,Premium,3.4,"Fast Food"
O27,C1508,42,D314,R288,"Biryani House","Pune B1",Pune,2024-04-24,Non-Veg,729,50,44,735,UPI,Occasional,4.1,Cafe
O28,C1131,31,D205,R301,Dominos,"Mumbai B5",Mumbai,2023-08-07,Veg,229,54,101,182,UPI,Premium,4.6,Cafe
O29,C300,27,D566,R340,McDonalds,"Pune B3",Pune,2023-07-22,Veg,882,41,55,868,Cash,Premium,3.6,"Casual Dining"
O30,C1854,37,D304,R251,Dominos,"Delhi B10",Delhi,2024-01-30,Veg,989,30,91,928,Cash,Occasional,3.9,"Casual Dining"
O31,C544,35,D38,R219,McDonalds,"Mumbai B1",Mumbai,2024-02-08,Non-Veg,998,46,27,1017,UPI,Regular,4.1,Cafe
O32,C1991,51,D42,R4,KFC,"Bangalore B2",Bangalore,2023-11-18,Non-Veg,412,41,129,324,UPI,Premium,3.7,"Fast Food"
O33,C1196,37,D98,R66,Dominos,"Mumbai B5",Mumbai,2023-12-30,Non-Veg,437,30,107,360,UPI,Regular,4.4,"Casual Dining"
O34,C1558,29,D974,R29,Dominos,"Hyderabad B2",Hyderabad,2024-09-14,Non-Veg,384,48,59,373,UPI,Regular,3.1,"Fast Food"
O35,C736,32,D195,R240,Dominos,"Pune B5",Pune,2023-12-20,Veg,223,59,84,198,Cash,Premium,4.1,"Casual Dining"
O36,C68,26,D291,R230,KFC,"Delhi B7",Delhi,2023-10-05,Veg,769,54,68,755,UPI,Occasional,3.2,"Casual Dining"
O37,C1627,47,D378,R93,McDonalds,"Mumbai B6",Mumbai,2023-05-24,Veg,378,59,131,306,UPI,Premium,4.6,"Casual Dining"
O38,C1678,25,D737,R1,Dominos,"Delhi B7",Delhi,2024-04-03,Veg,659,30,115,574,UPI,Premium,4.9,"Casual Dining"
O39,C503,37,D216,R15,Dominos,"Hyderabad B9",Hyderabad,2023-08-09,Non-Veg,549,32,4,577,Cash,Premium,4.8,"Fast Food"
O40,C1718,29,D127,R11,"Biryani House","Pune B2",Pune,2023-07-05,Veg,224,59,69,214,UPI,Premium,3.5,"Fast Food"
O41,C1117,31,D475,R38,McDonalds,"Bangalore B5",Bangalore,2024-02-08,Veg,351,23,120,254,Cash,Regular,3.1,"Casual Dining"
O42,C164,36,D685,R54,"Pizza Hut","Delhi B4",Delhi,2024-06-03,Non-Veg,369,31,13,387,UPI,Regular,4.8,"Casual Dining"
O43,C1419,33,D342,R224,KFC,"Hyderabad B7",Hyderabad,2024-01-30,Non-Veg,907,58,20,945,UPI,Occasional,4,"Fast Food"
O44,C1515,53,D463,R62,McDonalds,"Pune B3",Pune,2023-03-21,Non-Veg,903,45,45,903,UPI,Regular,3.4,Cafe
O45,C672,27,D538,R373,Dominos,"Mumbai B4",Mumbai,2023-12-17,Veg,294,54,3,345,Cash,Regular,3.4,Cafe
O46,C189,31,D420,R51,"Pizza Hut","Hyderabad B9",Hyderabad,2023-09-25,Veg,368,24,14,378,UPI,Regular,4.4,Cafe
O47,C1814,37,D444,R69,"Pizza Hut","Bangalore B6",Bangalore,2024-06-22,Veg,857,30,110,777,UPI,Occasional,4.7,Cafe
O48,C1032,37,D168,R335,"Pizza Hut","Pune B6",Pune,2023-08-19,Non-Veg,491,38,58,471,Cash,Occasional,3.1,Cafe
O49,C555,50,D657,R63,Dominos,"Delhi B3",Delhi,2024-09-12,Non-Veg,564,43,120,487,UPI,Occasional,4.3,Cafe
O50,C733,30,D885,R237,Dominos,"Mumbai B2",Mumbai,2023-10-11,Non-Veg,754,57,80,731,UPI,Regular,3.1,"Fast Food"
O51,C438,26,D619,R137,McDonalds,"Mumbai B9",Mumbai,2023-12-31,Non-Veg,246,35,9,272,UPI,Premium,3,"Casual Dining"
O52,C1831,26,D120,R327,Dominos,"Pune B8",Pune,2023-10-24,Veg,255,30,43,242,Cash,Occasional,3.4,Cafe
O53,C275,39,D993,R194,Dominos,"Delhi B3",Delhi,2023-12-23,Veg,255,37,117,175,Cash,Occasional,4.4,"Fast Food"
O54,C826,36,D457,R245,"Pizza Hut","Mumbai B8",Mumbai,2024-02-14,Veg,937,44,3,978,Cash,Premium,4.1,Cafe
O55,C1442,30,D112,R297,KFC,"Bangalore B3",Bangalore,2023-12-05,Non-Veg,274,43,45,272,UPI,Occasional,3.7,Cafe
O56,C765,67,D569,R220,"Biryani House","Bangalore B9",Bangalore,2024-02-06,Veg,412,46,150,308,UPI,Premium,3.2,"Casual Dining"
O57,C1800,28,D179,R190,KFC,"Hyderabad B5",Hyderabad,2023-10-24,Non-Veg,836,44,9,871,Cash,Occasional,3.1,Cafe
O58,C279,25,D184,R46,"Biryani House","Hyderabad B4",Hyderabad,2024-03-12,Non-Veg,739,24,40,723,Cash,Occasional,4.8,"Fast Food"
O59,C768,34,D557,R229,"Pizza Hut","Bangalore B9",Bangalore,2023-06-28,Veg,982,52,57,977,UPI,Occasional,4.7,"Fast Food"
O60,C1046,55,D783,R213,Dominos,"Mumbai B2",Mumbai,2023-03-19,Veg,400,37,11,426,Cash,Regular,4.9,Cafe
O61,C1243,35,D755,R76,"Biryani House","Mumbai B9",Mumbai,2023-12-18,Veg,961,48,88,921,UPI,Regular,3.1,Cafe
O62,C917,47,D103,R131,KFC,"Pune B7",Pune,2023-10-29,Veg,260,34,120,174,UPI,Occasional,3,Cafe
O63,C102,25,D381,R77,KFC,"Delhi B6",Delhi,2023-12-14,Veg,684,33,47,670,Cash,Premium,3.1,"Casual Dining"
O64,C1966,27,D503,R191,McDonalds,"Hyderabad B2",Hyderabad,2024-05-28,Non-Veg,775,31,136,670,UPI,Occasional,4.6,Cafe
O65,C1196,59,D798,R113,"Pizza Hut","Mumbai B5",Mumbai,2023-11-01,Veg,684,39,7,716,Cash,Regular,3.5,Cafe
O66,C368,25,D830,R257,Dominos,"Bangalore B3",Bangalore,2023-07-08,Veg,893,44,42,895,Cash,Premium,4.3,Cafe
O67,C885,27,D265,R69,"Pizza Hut","Bangalore B6",Bangalore,2023-06-25,Non-Veg,660,42,128,574,UPI,Regular,4.6,Cafe
O68,C562,39,D13,R117,Dominos,"Delhi B1",Delhi,2024-01-26,Non-Veg,958,22,45,935,UPI,Premium,4.7,Cafe
O69,C1699,57,D100,R115,Dominos,"Pune B10",Pune,2023-12-05,Non-Veg,726,43,102,667,Cash,Premium,3,"Casual Dining"
O70,C1544,28,D452,R232,Dominos,"Mumbai B9",Mumbai,2024-01-08,Veg,532,49,31,550,UPI,Occasional,4.8,Cafe
O71,C819,37,D949,R53,KFC,"Hyderabad B5",Hyderabad,2023-12-25,Non-Veg,252,50,64,238,UPI,Regular,4.7,"Fast Food"
O72,C22,29,D973,R149,"Biryani House","Bangalore B5",Bangalore,2024-05-29,Non-Veg,548,49,1,596,UPI,Premium,3.7,"Casual Dining"
O73,C636,25,D74,R238,"Biryani House","Bangalore B4",Bangalore,2024-02-24,Veg,301,23,108,216,UPI,Regular,3.8,"Fast Food"
O74,C117,40,D989,R103,"Pizza Hut","Hyderabad B1",Hyderabad,2023-10-13,Non-Veg,644,37,44,637,UPI,Premium,4.3,Cafe
O75,C665,24,D774,R334,"Biryani House","Hyderabad B10",Hyderabad,2024-09-24,Veg,804,52,142,714,UPI,Regular,4.7,Cafe
O76,C1448,28,D145,R56,"Pizza Hut","Bangalore B7",Bangalore,2023-11-12,Non-Veg,606,42,43,605,UPI,Occasional,4.9,"Casual Dining"
O77,C1731,29,D655,R160,Dominos,"Pune B1",Pune,2024-01-19,Non-Veg,725,35,44,716,UPI,Premium,3.6,"Casual Dining"
O78,C1790,29,D413,R279,"Pizza Hut","Delhi B4",Delhi,2023-07-17,Veg,962,33,139,856,Cash,Occasional,4.8,"Fast Food"
O79,C1797,34,D482,R384,McDonalds,"Hyderabad B2",Hyderabad,2024-01-12,Non-Veg,429,42,68,403,Cash,Occasional,4.4,Cafe
O80,C392,39,D502,R132,McDonalds,"Hyderabad B1",Hyderabad,2024-07-03,Non-Veg,697,22,99,620,UPI,Premium,4.7,Cafe
O81,C776,37,D327,R341,KFC,"Pune B9",Pune,2023-07-21,Non-Veg,728,35,137,626,Cash,Premium,3.1,Cafe
O82,C5,35,D225,R270,KFC,"Delhi B2",Delhi,2023-08-08,Veg,624,30,65,589,Cash,Occasional,4.2,Cafe
O83,C24,36,D131,R290,"Biryani House","Pune B10",Pune,2024-03-27,Non-Veg,884,51,84,851,UPI,Premium,3.3,Cafe
O84,C1820,29,D854,R261,KFC,"Mumbai B3",Mumbai,2024-08-02,Veg,807,51,66,792,UPI,Premium,4.7,"Fast Food"
O85,C489,28,D419,R52,McDonalds,"Bangalore B6",Bangalore,2023-02-04,Non-Veg,547,57,64,540,UPI,Premium,4.9,"Fast Food"
O86,C65,25,D67,R395,McDonalds,"Hyderabad B6",Hyderabad,2024-07-18,Veg,422,44,90,376,UPI,Premium,4.1,"Fast Food"
O87,C1178,37,D613,R230,KFC,"Delhi B7",Delhi,2024-04-10,Non-Veg,797,37,83,751,UPI,Regular,3.7,"Casual Dining"
O88,C1752,28,D498,R29,Dominos,"Hyderabad B2",Hyderabad,2024-03-13,Non-Veg,233,27,150,110,Cash,Regular,4.1,"Fast Food"
O89,C1996,38,D211,R71,McDonalds,"Delhi B5",Delhi,2023-10-31,Veg,207,23,79,151,UPI,Regular,3.8,"Fast Food"
O90,C226,27,D754,R193,"Pizza Hut","Mumbai B3",Mumbai,2024-01-15,Non-Veg,576,31,140,467,UPI,Regular,4.8,"Fast Food"
O91,C16,38,D402,R205,"Biryani House","Hyderabad B2",Hyderabad,2023-06-01,Veg,831,27,87,771,UPI,Regular,4.1,"Fast Food"
O92,C1397,32,D159,R112,"Biryani House","Pune B4",Pune,2023-05-07,Veg,366,33,23,376,UPI,Premium,4.9,"Casual Dining"
O93,C1724,28,D401,R161,Dominos,"Delhi B2",Delhi,2024-02-15,Veg,602,23,61,564,Cash,Premium,3.5,"Fast Food"
O94,C1643,31,D541,R103,"Pizza Hut","Hyderabad B1",Hyderabad,2024-01-29,Non-Veg,420,21,91,350,Cash,Occasional,4.4,Cafe
O95,C1590,69,D114,R69,"Pizza Hut","Bangalore B6",Bangalore,2023-08-11,Non-Veg,788,35,86,737,Cash,Premium,3.2,Cafe
O96,C199,31,D416,R27,McDonalds,"Pune B3",Pune,2023-10-08,Veg,904,24,109,819,UPI,Regular,3.9,Cafe
O97,C1313,37,D123,R188,KFC,"Bangalore B1",Bangalore,2023-10-12,Veg,810,42,32,820,Cash,Regular,3.4,Cafe
O98,C278,33,D697,R106,Dominos,"Mumbai B10",Mumbai,2024-01-03,Non-Veg,690,38,144,584,Cash,Regular,3.2,"Fast Food"
O99,C910,35,D18,R170,"Pizza Hut","Mumbai B3",Mumbai,2024-08-27,Veg,628,44,74,598,Cash,Premium,4.4,Cafe
O100,C274,29,D809,R337,KFC,"Bangalore B8",Bangalore,2024-05-19,Veg,762,42,59,745,Cash,Premium,4.4,"Fast Food"
O101,C1801,39,D645,R97,KFC,"Mumbai B10",Mumbai,2024-03-01,Veg,455,20,130,345,UPI,Occasional,4.8,Cafe
O102,C589,58,D802,R68,McDonalds,"Bangalore B4",Bangalore,2024-04-12,Non-Veg,588,40,58,570,UPI,Premium,4.6,Cafe
O103,C1834,38,D478,R222,Dominos,"Delhi B10",Delhi,2024-06-01,Non-Veg,704,59,78,685,UPI,Regular,3.1,Cafe
O104,C879,28,D812,R68,McDonalds,"Bangalore B4",Bangalore,2023-10-25,Non-Veg,764,24,68,720,Cash,Occasional,4.1,Cafe
O105,C597,43,D963,R292,"Pizza Hut","Delhi B4",Delhi,2024-04-24,Non-Veg,814,60,146,728,Cash,Regular,5,"Casual Dining"
O106,C531,58,D344,R397,"Pizza Hut","Pune B6",Pune,2023-12-21,Non-Veg,493,60,115,438,UPI,Premium,3.3,Cafe
O107,C1087,21,D997,R145,McDonalds,"Pune B4",Pune,2024-06-23,Non-Veg,483,38,107,414,UPI,Regular,4.8,"Fast Food"
O108,C1167,40,D13,R116,Dominos,"Delhi B9",Delhi,2023-08-01,Non-Veg,593,44,54,583,UPI,Premium,4.7,"Fast Food"
O109,C9,35,D444,R4,KFC,"Bangalore B2",Bangalore,2024-07-05,Non-Veg,932,47,124,855,UPI,Regular,4.7,"Fast Food"
O110,C492,26,D22,R81,"Pizza Hut","Pune B7",Pune,2024-01-24,Veg,370,57,11,416,UPI,Premium,4.6,"Fast Food"
O111,C992,25,D392,R285,"Pizza Hut","Hyderabad B9",Hyderabad,2023-08-14,Veg,602,23,40,585,UPI,Premium,4.1,"Fast Food"
O112,C979,30,D469,R77,KFC,"Delhi B6",Delhi,2023-06-06,Non-Veg,296,46,55,287,UPI,Occasional,4.5,"Casual Dining"
O113,C523,37,D546,R380,"Pizza Hut","Hyderabad B4",Hyderabad,2024-05-29,Non-Veg,206,45,125,126,Cash,Occasional,3.5,"Casual Dining"
O114,C1063,37,D941,R76,"Biryani House","Mumbai B9",Mumbai,2024-04-17,Non-Veg,422,44,93,373,UPI,Regular,3.2,Cafe
O115,C363,30,D890,R208,"Biryani House","Pune B2",Pune,2023-06-12,Veg,598,38,45,591,Card,Premium,3.2,"Fast Food"
O116,C808,31,D715,R213,Dominos,"Mumbai B2",Mumbai,2023-10-04,Non-Veg,220,31,33,218,UPI,Premium,3.3,Cafe
O117,C187,42,D75,R216,"Pizza Hut","Bangalore B1",Bangalore,2023-11-06,Non-Veg,496,52,129,419,Cash,Premium,3.4,"Casual Dining"
O118,C1045,23,D377,R152,"Biryani House","Mumbai B8",Mumbai,2023-10-19,Veg,989,60,104,945,UPI,Premium,4.6,Cafe
O119,C630,31,D631,R320,"Pizza Hut","Mumbai B2",Mumbai,2023-12-02,Non-Veg,918,40,127,831,Cash,Regular,4.3,Cafe
O120,C1052,35,D462,R9,"Pizza Hut","Hyderabad B2",Hyderabad,2023-07-12,Non-Veg,949,50,52,947,Cash,Occasional,4.3,"Fast Food"
O121,C1610,19,D625,R337,KFC,"Bangalore B8",Bangalore,2023-10-06,Veg,303,48,69,282,UPI,Premium,3.3,"Fast Food"
O122,C1841,31,D135,R174,Dominos,"Pune B8",Pune,2023-10-10,Non-Veg,641,44,147,538,Cash,Occasional,4.2,Cafe
O123,C1293,26,D677,R118,KFC,"Mumbai B4",Mumbai,2023-08-23,Non-Veg,831,25,27,829,Cash,Premium,4.2,"Casual Dining"
O124,C316,33,D903,R73,Dominos,"Bangalore B1",Bangalore,2024-07-05,Veg,759,59,24,794,Cash,Regular,3.3,Cafe
O125,C364,30,D304,R251,Dominos,"Delhi B10",Delhi,2023-08-25,Non-Veg,545,55,76,524,Cash,Regular,3.9,"Casual Dining"
O126,C106,29,D296,R183,"Biryani House","Pune B3",Pune,2023-10-05,Non-Veg,411,35,3,443,Cash,Occasional,3.9,"Fast Food"
O127,C552,39,D371,R178,"Pizza Hut","Delhi B4",Delhi,2024-07-18,Non-Veg,384,33,132,285,UPI,Premium,4.6,"Casual Dining"
O128,C1768,27,D759,R351,"Pizza Hut","Delhi B9",Delhi,2024-02-05,Veg,612,28,10,630,Cash,Regular,3.4,"Fast Food"
O129,C329,29,D267,R282,"Biryani House","Delhi B8",Delhi,2023-07-08,Veg,660,40,38,662,UPI,Regular,4.9,Cafe
O130,C628,31,D301,R392,"Biryani House","Mumbai B2",Mumbai,2023-04-24,Non-Veg,242,34,111,165,Cash,Premium,3.5,"Casual Dining"
O131,C900,25,D993,R82,McDonalds,"Delhi B8",Delhi,2023-05-03,Non-Veg,520,50,113,457,Cash,Occasional,4.4,"Casual Dining"
O132,C344,49,D313,R76,"Biryani House","Mumbai B9",Mumbai,2024-05-12,Non-Veg,460,21,45,436,UPI,Occasional,4.9,Cafe
O133,C1808,38,D941,R382,McDonalds,"Mumbai B8",Mumbai,2024-04-01,Veg,302,50,67,285,UPI,Premium,3.2,Cafe
O134,C873,25,D717,R388,Dominos,"Mumbai B9",Mumbai,2023-10-18,Non-Veg,757,40,54,743,UPI,Regular,3.1,"Casual Dining"
O135,C985,27,D571,R204,"Pizza Hut","Mumbai B1",Mumbai,2023-03-15,Veg,214,49,129,134,Cash,Premium,3,"Fast Food"
O136,C943,27,D132,R310,"Biryani House","Mumbai B3",Mumbai,2023-10-03,Veg,624,56,87,593,UPI,Occasional,4.4,"Casual Dining"
O137,C1881,36,D215,R135,KFC,"Pune B5",Pune,2024-06-05,Non-Veg,918,32,110,840,UPI,Premium,4.3,Cafe
O138,C1787,25,D313,R214,"Pizza Hut","Mumbai B3",Mumbai,2024-01-17,Veg,375,58,127,306,UPI,Premium,4.9,"Fast Food"
O139,C1475,25,D868,R397,"Pizza Hut","Pune B6",Pune,2023-10-25,Veg,267,51,13,305,Cash,Premium,4.9,Cafe
O140,C57,40,D304,R358,"Pizza Hut","Delhi B10",Delhi,2024-04-13,Non-Veg,579,21,8,592,UPI,Regular,3.9,"Fast Food"
O141,C136,23,D543,R103,"Pizza Hut","Hyderabad B1",Hyderabad,2023-12-30,Non-Veg,803,22,129,696,UPI,Premium,4.7,Cafe
O142,C1768,33,D147,R358,"Pizza Hut","Delhi B10",Delhi,2024-03-06,Non-Veg,409,41,7,443,UPI,Regular,4.6,"Fast Food"
O143,C1808,24,D724,R41,McDonalds,"Mumbai B6",Mumbai,2023-12-31,Veg,979,39,23,995,Cash,Premium,4.6,Cafe
O144,C1880,57,D994,R100,"Pizza Hut","Pune B3",Pune,2023-09-27,Veg,608,24,19,613,UPI,Regular,3.3,"Fast Food"
O145,C1883,39,D152,R223,McDonalds,"Bangalore B5",Bangalore,2023-11-10,Veg,528,56,150,434,UPI,Premium,5,"Fast Food"
O146,C1119,70,D979,R96,"Biryani House","Mumbai B4",Mumbai,2023-12-31,Veg,859,45,25,879,UPI,Regular,3.1,"Casual Dining"
O147,C1767,28,D864,R58,Dominos,"Hyderabad B2",Hyderabad,2023-06-21,Non-Veg,477,34,53,458,UPI,Regular,4.8,"Fast Food"
O148,C680,53,D144,R171,"Pizza Hut","Mumbai B10",Mumbai,2023-08-26,Non-Veg,723,60,18,765,Cash,Occasional,3.9,Cafe
O149,C1267,38,D350,R362,Dominos,"Bangalore B2",Bangalore,2024-01-06,Veg,350,39,59,330,Cash,Regular,4.1,Cafe
O150,C108,28,D442,R79,McDonalds,"Delhi B4",Delhi,2023-08-14,Non-Veg,719,27,0,746,Cash,Occasional,4.5,Cafe
O151,C1600,34,D356,R194,Dominos,"Delhi B3",Delhi,2023-09-09,Non-Veg,299,43,23,319,Cash,Premium,4,"Fast Food"
O152,C861,40,D940,R102,McDonalds,"Mumbai B6",Mumbai,2023-12-08,Veg,822,37,150,709,Cash,Regular,3.5,Cafe
O153,C1616,36,D296,R288,"Biryani House","Pune B1",Pune,2024-04-20,Veg,458,22,135,345,Card,Occasional,3.9,Cafe
O154,C1557,30,D669,R188,KFC,"Bangalore B1",Bangalore,2024-01-07,Veg,916,23,45,894,UPI,Occasional,4.2,Cafe
O155,C742,38,D922,R184,KFC,"Bangalore B3",Bangalore,2024-03-07,Non-Veg,873,35,58,850,UPI,Regular,3.6,"Casual Dining"
O156,C82,35,D421,R383,"Pizza Hut","Bangalore B4",Bangalore,2024-07-19,Non-Veg,440,36,57,419,Cash,Premium,4.4,"Fast Food"
O157,C578,25,D179,R276,"Pizza Hut","Hyderabad B9",Hyderabad,2024-03-01,Non-Veg,758,32,142,648,Card,Regular,3.1,Cafe
O158,C798,40,D283,R155,KFC,"Delhi B5",Delhi,2023-12-24,Non-Veg,900,39,41,898,UPI,Occasional,3.7,"Fast Food"
O159,C6,38,D581,R101,Dominos,"Bangalore B7",Bangalore,2023-08-01,Non-Veg,850,45,120,775,UPI,Regular,4.6,"Fast Food"
O160,C886,34,D736,R352,"Biryani House","Hyderabad B4",Hyderabad,2023-11-08,Non-Veg,759,39,79,719,UPI,Regular,4.7,Cafe
O161,C522,21,D176,R269,KFC,"Hyderabad B4",Hyderabad,2024-06-02,Non-Veg,566,27,19,574,UPI,Occasional,4.4,"Casual Dining"
O162,C820,30,D45,R359,McDonalds,"Mumbai B9",Mumbai,2023-05-11,Non-Veg,359,24,79,304,UPI,Premium,3.8,"Fast Food"
O163,C1837,26,D378,R34,KFC,"Mumbai B10",Mumbai,2023-11-03,Veg,632,24,96,560,UPI,Occasional,4.6,Cafe
O164,C1827,40,D302,R160,Dominos,"Pune B1",Pune,2024-05-18,Veg,225,47,53,219,UPI,Regular,4,"Casual Dining"
O165,C1344,58,D515,R291,"Biryani House","Delhi B3",Delhi,2023-09-07,Non-Veg,272,54,123,203,UPI,Regular,4.3,Cafe
O166,C1643,38,D162,R296,KFC,"Hyderabad B2",Hyderabad,2023-10-04,Non-Veg,324,22,121,225,UPI,Occasional,4.6,Cafe
O167,C852,34,D300,R85,KFC,"Bangalore B1",Bangalore,2024-10-16,Veg,239,32,64,207,UPI,Regular,4.5,"Fast Food"
O168,C416,34,D539,R4,KFC,"Bangalore B2",Bangalore,2023-11-20,Veg,431,23,58,396,UPI,Regular,4.2,"Fast Food"
O169,C1207,32,D960,R56,"Pizza Hut","Bangalore B7",Bangalore,2024-06-03,Non-Veg,1000,40,138,902,Cash,Occasional,4.7,"Casual Dining"
O170,C573,29,D722,R341,KFC,"Pune B9",Pune,2023-12-11,Non-Veg,259,50,96,213,UPI,Regular,3.7,Cafe
O171,C913,32,D430,R54,"Pizza Hut","Delhi B4",Delhi,2024-06-13,Non-Veg,893,31,64,860,UPI,Occasional,4,"Casual Dining"
O172,C1258,33,D202,R78,"Pizza Hut","Pune B1",Pune,2023-11-25,Non-Veg,777,32,26,783,UPI,Premium,3.9,"Fast Food"
O173,C1972,47,D225,R87,KFC,"Delhi B7",Delhi,2023-10-25,Non-Veg,944,53,65,932,Cash,Premium,4.2,"Fast Food"
O174,C879,54,D350,R355,KFC,"Bangalore B4",Bangalore,2024-01-26,Non-Veg,285,31,111,205,UPI,Occasional,4.1,Cafe
O175,C203,33,D552,R164,"Biryani House","Pune B5",Pune,2023-08-10,Non-Veg,591,34,146,479,Cash,Premium,3.7,Cafe
O176,C1910,36,D31,R45,KFC,"Delhi B2",Delhi,2024-06-01,Non-Veg,906,35,55,886,Cash,Premium,3.1,Cafe
O177,C1478,29,D695,R395,McDonalds,"Hyderabad B6",Hyderabad,2023-02-17,Veg,329,54,102,281,Cash,Premium,4.1,"Fast Food"
O178,C1072,38,D426,R230,KFC,"Delhi B7",Delhi,2023-07-07,Veg,833,26,104,755,Cash,Occasional,3.4,"Casual Dining"
O179,C286,47,D545,R283,McDonalds,"Mumbai B7",Mumbai,2023-08-29,Veg,585,56,1,640,Cash,Occasional,4.5,"Fast Food"
O180,C1118,29,D609,R337,KFC,"Bangalore B8",Bangalore,2024-04-14,Veg,972,54,118,908,UPI,Premium,3,"Fast Food"
O181,C1088,30,D447,R192,Dominos,"Bangalore B9",Bangalore,2023-03-29,Veg,533,33,76,490,Card,Occasional,4.9,"Fast Food"
O182,C1901,33,D41,R154,"Pizza Hut","Bangalore B7",Bangalore,2023-11-18,Non-Veg,813,42,53,802,Cash,Premium,3.2,"Fast Food"
O183,C273,39,D205,R345,KFC,"Mumbai B2",Mumbai,2023-12-04,Veg,484,37,65,456,UPI,Occasional,4.6,Cafe
O184,C1669,26,D684,R235,"Pizza Hut","Pune B9",Pune,2023-09-11,Non-Veg,533,24,101,456,UPI,Premium,4.6,"Fast Food"
O185,C892,27,D479,R32,"Pizza Hut","Hyderabad B4",Hyderabad,2023-11-02,Veg,694,48,59,683,UPI,Regular,4,"Casual Dining"
